Description,Location,Number of Rooms,Price
apartment for rent in London,"                        London, Greater London                    ",2,2197.0
"1 Bedroom Apartment to Rent in Hierro Court, Bermuda Way, London, E1, E1, 4GB | allAgents. Property id 3376453","                        London, Greater London                    ",1,1850.0
"2 Bedroom Terraced House to Rent in Greenhaven Drive, Thamesmead, Thamesmead, SE28, 8FY | allAgents. Property id 3435228","                        London, Greater London                    ",2,1800.0
"Oakley Street, London, SW3","                        London, Greater London                    ",2,2817.0
"Maisonette to Rent in Briscoe Road, Colliers Wood, London, SW19, 2AH | allAgents. Property id 3435351","                        London, Greater London                    ",1,1800.0
"3 bedroom property to let in The Coach House, Askham Road, W12 £3,300 pcm","                        London, Greater London                    ",3,3300.0
"2 Bedroom Detached House to Rent in Elm Grove Road, Ealing, W5, Ealing, W5, 3JH | allAgents. Property id 3435236","                        London, Greater London                    ",2,2492.0
"2 Bedroom Apartment to Rent in Adie Road, London, W6 0PW, Hammersmith, W6, 0PW | allAgents. Property id 3434296","                        London, Greater London                    ",2,2800.0
"apartment in Clerkenwell Road, London United Kingdom","                        London, Greater London                    ",2,3250.0
"The Landmark East Tower, 24 Marsh Wall, Canary Wharf, London, E14 9EG","                        London, Greater London                    ",3,5850.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,4441.0
"1 Bedroom Semi Detached House to Rent in Hammersmith, W6 0PW, Hammersmith, W6, 0PW | allAgents. Property id 3434513","                        London, Greater London                    ",1,1550.0
"2 Bedroom Apartment to Rent in Lawrence House, City Road, Clerkenwell, London, EC1V, EC1V, 2PQ | allAgents. Property id 3435342","                        London, Greater London                    ",2,3300.0
"Airlie Gardens, London, W8","                        London, Greater London                    ",2,3000.0
"Casson Square, London, SE1 | Century 21 UK","                        London, Greater London                    ",2,4850.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,4086.0
"Apartment in West End of London, Greater London","                        London, Greater London                    ",1,3553.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,4103.0
"Osmington house, Dorset Road, London, SW8","                        London, Greater London                    ",4,3358.0
"Albert Embankment, London, SE1","                        London, Greater London                    ",2,5850.0
"North Gate, St John's Wood, Prince Albert Road, London, NW8","                        London, Greater London                    ",2,6500.0
